Brewery_Beer,Type_Names,Type_Counts,Style,Location,Country,Date
English Ales Monk's Brown Ale,,,English-Style Brown Ale,United States - California,United States ,10/3/08
English Ales Pale Ale,,,Classic English-Style Pale Ale,United States - California,United States ,10/3/08
English Ales Ramsay's Fat Lip Amber Ale,,,Scottish-Style Export Ale,United States - California,United States ,10/3/08
English Ales Triple B Borthwick's Best Bitter,,,(Special) Best Bitter,United States - California,United States ,10/3/08
English Ales Monterey Bay Wheat,,,Light American Wheat Beer without Yeast,United States - California,United States ,10/3/08
English Ales Big Sur Golden,,,Garden (Fruit) Beer,United States - California,United States ,10/3/08
Monterey Coast Chocolate Porter,,,Chocolate/Cocoa Flavored Beer,United States - California,United States ,10/3/08
Monterey Coast Irish Stout,,,Sweet Stout or Cream Stout,United States - California,United States ,10/3/08
Monterey Coast Nut Brown Ale,,,American-Style Brown Ale,United States - California,United States ,10/3/08
Monterey Coast Oktoberfest,,,German-Style Märzen/Oktoberfest,United States - California,United States ,10/3/08
Monterey Coast Hefeweizen,,,South German-Style Bernsteinfarbenes Weizen/Weissbier,United States - California,United States ,10/3/08
Monterey Coast Pilsner,,,German-Style Pilsener,United States - California,United States ,10/3/08
Monterey Coast Harvest Wheat,,,Light American Wheat Beer with Yeast,United States - California,United States ,10/3/08
Laughing Dog Dogzilla Black IPA,,,American-Style Black Ale,United States - Idaho,United States ,10/1/08
Rogue XS Imperial Stout,,,Imperial Stout,United States - Oregon,United States ,10/1/08
Mikkeller Monk's Brew,,,Belgian-Style Dark Strong Ale,Denmark,Denmark,10/1/08
Weißenoher Festbier / Monk's Fest,,,German-Style Märzen/Oktoberfest,Germany - Bayern,Germany ,9/30/08
Firestone Walker Double Barrel Ale / DBA,,,Ordinary or Special Bitter,United States - California,United States ,9/29/08
Lagunitas #10,,,Other Belgian-Style Ale,United States - California,United States ,9/29/08
Butte Creek MateVeza Yerba Mate Gold,,,Herb and Spice Beer,United States - California,United States ,9/29/08
De Struise Aardmonnik / Earthmonk,,,Belgian-Style Flanders/Oud Bruin Ale,Belgium - Oost-Vlaanderen,Belgium ,9/29/08
Bayern St. Wilbur Weizen,,,South German-Style Hefeweizen/Hefeweissbier,United States - Montana,United States ,9/29/08
Avery The Beast Grand Cru 2007,,,Belgian-Style Dark Strong Ale,United States - Colorado,United States ,9/26/08
Avery 14'er ESB,,,English-Style (Extra Special) Strong Bitter,United States - Colorado,United States ,9/26/08
Stevens Point Oktoberfest,,,American-Style Amber Lager,United States - Wisconsin,United States ,9/26/08
Summit Oktoberfest,,,German-Style Märzen/Oktoberfest,United States - Minnesota,United States ,9/26/08
Lakefront Pumpkin Lager Beer,,,Garden (Vegetable) Beer,United States - Wisconsin,United States ,9/26/08
Coors (Shenandoah) Harvest Moon Pumpkin Ale,,,Garden (Vegetable) Beer,United States - Virginia,United States ,9/26/08
Schell Oktoberfest,,,American-Style Amber Lager,United States - Minnesota,United States ,9/26/08
